,precision,recall,f1-score,accuracy
0,1.0,0.5833333333333334,0.7368421052631579,0.9980747015787447
1,0.75,0.75,0.75,0.9984597612629957
2,0.875,1.0,0.9333333333333333,0.9996149403157489
3,1.0,0.7,0.8235294117647058,0.9988448209472468
4,0.875,0.875,0.875,0.9992298806314979
5,1.0,0.9090909090909091,0.9523809523809523,0.9996149403157489
6,0.875,0.875,0.875,0.9992298806314979
7,1.0,0.7,0.8235294117647058,0.9988448209472468
8,1.0,1.0,1.0,1.0
9,0.8333333333333334,0.625,0.7142857142857143,0.9984597612629957
10,1.0,0.8571428571428571,0.923076923076923,0.9996149403157489
11,1.0,0.8181818181818182,0.9,0.9992298806314979
12,1.0,0.75,0.8571428571428571,0.9996149403157489
13,0.8571428571428571,0.6,0.7058823529411764,0.9980747015787447
14,0.75,1.0,0.8571428571428571,0.9996149403157489
15,0.9090909090909091,1.0,0.9523809523809523,0.9996149403157489
16,0.875,1.0,0.9333333333333333,0.9996149403157489
17,1.0,0.8,0.888888888888889,0.9992298806314979
18,0.9166666666666666,1.0,0.9565217391304348,0.9996149403157489
19,1.0,0.8571428571428571,0.923076923076923,0.9996149403157489
20,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9992298806314979
21,0.8888888888888888,0.8,0.8421052631578948,0.9988448209472468
22,0.9090909090909091,0.7692307692307693,0.8333333333333333,0.9984597612629957
23,1.0,0.8,0.888888888888889,0.9992298806314979
24,0.8,0.5714285714285714,0.6666666666666666,0.9984597612629957
25,0.75,0.5,0.6,0.9984597612629957
26,1.0,0.9,0.9473684210526316,0.9996149403157489
27,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9992298806314979
28,1.0,0.6666666666666666,0.8,0.9984597612629957
29,1.0,0.5714285714285714,0.7272727272727273,0.9988448209472468
